domain,shd_mean,shd_std,intervention_accuracy,counterfactual_consistency,n
abc,3.000000,0.816497,0.850000,0.883333,3
ap,3.461538,3.128415,0.703846,0.769231,13
cnn,1.000000,0.000000,0.533333,0.500000,3
ea,2.000000,1.000000,0.700000,0.725000,2
finance,1.000000,0.000000,0.503100,0.499775,2000
nyt,4.333333,4.027682,0.766667,0.816667,3
other_news,2.000000,0.000000,0.850000,0.850000,1
pri,1.500000,0.500000,0.675000,0.750000,2
voa,3.000000,0.000000,0.900000,0.875000,2
wsj,2.898734,2.646205,0.734177,0.708861,79
